id,gold,pred,correct
sciqa_000001,B,B,1
sciqa_000003,C,B,0
sciqa_000005,B,B,1
sciqa_000007,B,B,1
sciqa_000008,B,B,1
sciqa_000009,D,B,0
sciqa_000012,A,B,0
sciqa_000013,B,B,1
sciqa_000017,B,D,0
sciqa_000019,C,B,0
sciqa_000021,B,B,1
sciqa_000022,B,C,0
sciqa_000024,B,B,1
sciqa_000025,A,B,0
sciqa_000029,C,B,0
sciqa_000032,A,B,0
sciqa_000033,B,B,1
sciqa_000035,B,B,1
sciqa_000037,B,,0
sciqa_000041,A,B,0
sciqa_000049,B,B,1
sciqa_000052,B,B,1
sciqa_000053,B,B,1
sciqa_000054,A,B,0
sciqa_000055,B,B,1
sciqa_000056,B,B,1
sciqa_000057,C,B,0
sciqa_000059,A,D,0
sciqa_000065,A,C,0
sciqa_000066,B,B,1
sciqa_000067,B,B,1
sciqa_000068,B,B,1
sciqa_000069,B,B,1
sciqa_000073,B,B,1
sciqa_000075,A,B,0
sciqa_000078,A,B,0
sciqa_000079,D,B,0
sciqa_000081,B,B,1
sciqa_000082,B,B,1
sciqa_000083,D,B,0
sciqa_000084,A,B,0
sciqa_000085,E,B,0
sciqa_000086,C,B,0
sciqa_000087,B,B,1
sciqa_000088,A,B,0
sciqa_000090,A,B,0
sciqa_000092,C,C,1
sciqa_000094,B,B,1
sciqa_000098,A,,0
sciqa_000100,A,B,0
sciqa_000105,D,D,1
sciqa_000106,B,B,1
sciqa_000107,B,B,1
sciqa_000108,B,B,1
sciqa_000109,A,B,0
sciqa_000111,A,B,0
sciqa_000112,B,B,1
sciqa_000113,D,D,1
sciqa_000116,C,B,0
sciqa_000117,B,B,1
sciqa_000119,B,B,1
sciqa_000123,A,B,0
sciqa_000125,A,B,0
sciqa_000127,C,B,0
sciqa_000128,A,B,0
sciqa_000131,D,B,0
sciqa_000132,B,B,1
sciqa_000133,B,C,0
sciqa_000135,C,B,0
sciqa_000136,A,,0
sciqa_000137,A,B,0
sciqa_000141,A,C,0
sciqa_000143,A,B,0
sciqa_000146,B,C,0
sciqa_000147,B,D,0
sciqa_000151,C,C,1
sciqa_000153,C,B,0
sciqa_000158,C,B,0
sciqa_000159,A,B,0
sciqa_000162,A,B,0
sciqa_000164,B,B,1
sciqa_000170,A,B,0
sciqa_000173,B,,0
sciqa_000178,A,C,0
sciqa_000183,B,B,1
sciqa_000184,C,C,1
sciqa_000185,B,B,1
sciqa_000190,C,B,0
sciqa_000191,A,B,0
sciqa_000192,B,B,1
sciqa_000193,B,B,1
sciqa_000194,A,D,0
sciqa_000195,A,B,0
sciqa_000197,A,B,0
sciqa_000198,B,B,1
sciqa_000201,C,B,0
sciqa_000205,B,,0
sciqa_000206,A,B,0
sciqa_000207,A,B,0
sciqa_000208,B,B,1
sciqa_000209,B,B,1
sciqa_000211,A,B,0
sciqa_000212,A,B,0
sciqa_000213,B,B,1
sciqa_000214,A,B,0
sciqa_000216,B,B,1
sciqa_000219,B,B,1
sciqa_000222,A,B,0
sciqa_000224,A,B,0
sciqa_000226,C,B,0
sciqa_000227,B,B,1
sciqa_000230,B,B,1
sciqa_000231,B,B,1
sciqa_000233,B,B,1
sciqa_000234,A,C,0
sciqa_000235,C,B,0
sciqa_000236,B,C,0
sciqa_000238,A,B,0
sciqa_000240,A,B,0
sciqa_000242,A,B,0
sciqa_000244,C,C,1
sciqa_000247,B,B,1
sciqa_000248,A,B,0
sciqa_000249,A,B,0
sciqa_000250,D,B,0
sciqa_000251,B,B,1
sciqa_000254,D,B,0
sciqa_000260,C,B,0
sciqa_000262,B,B,1
sciqa_000264,B,B,1
sciqa_000266,D,C,0
sciqa_000267,A,B,0
sciqa_000268,B,B,1
sciqa_000269,A,B,0
sciqa_000270,A,B,0
sciqa_000273,B,B,1
sciqa_000275,B,B,1
sciqa_000276,B,B,1
sciqa_000277,B,C,0
sciqa_000279,B,B,1
sciqa_000281,C,B,0
sciqa_000282,A,C,0
sciqa_000283,A,B,0
sciqa_000284,A,B,0
sciqa_000285,C,B,0
sciqa_000286,B,B,1
sciqa_000287,B,B,1
sciqa_000289,C,B,0
sciqa_000292,C,B,0
sciqa_000294,C,B,0
sciqa_000295,A,C,0
sciqa_000296,D,B,0
sciqa_000297,C,D,0
sciqa_000298,D,C,0
sciqa_000300,A,C,0
sciqa_000301,B,B,1
sciqa_000302,C,B,0
sciqa_000306,B,B,1
sciqa_000308,C,B,0
sciqa_000309,B,C,0
sciqa_000310,C,B,0
sciqa_000311,B,C,0
sciqa_000314,B,B,1
sciqa_000316,B,B,1
sciqa_000319,C,B,0
sciqa_000320,C,B,0
sciqa_000321,C,C,1
sciqa_000322,A,B,0
sciqa_000323,B,B,1
sciqa_000325,A,B,0
sciqa_000326,A,B,0
sciqa_000328,B,B,1
sciqa_000331,A,D,0
sciqa_000332,B,B,1
sciqa_000334,A,B,0
sciqa_000335,B,B,1
sciqa_000336,C,B,0
sciqa_000338,B,B,1
sciqa_000339,A,B,0
sciqa_000345,A,B,0
sciqa_000346,B,B,1
sciqa_000347,A,B,0
sciqa_000348,A,B,0
sciqa_000350,B,B,1
sciqa_000351,B,B,1
sciqa_000354,B,B,1
sciqa_000357,C,B,0
sciqa_000360,C,B,0
sciqa_000362,D,B,0
sciqa_000366,A,B,0
sciqa_000369,C,C,1
sciqa_000377,B,B,1
sciqa_000378,B,B,1
sciqa_000379,A,B,0
sciqa_000380,B,B,1
sciqa_000383,B,B,1
sciqa_000384,A,B,0
sciqa_000385,A,B,0
sciqa_000386,A,C,0
sciqa_000387,D,B,0
sciqa_000391,B,B,1
sciqa_000392,B,B,1
sciqa_000393,C,B,0
sciqa_000394,C,B,0
sciqa_000395,B,C,0
sciqa_000396,A,B,0
sciqa_000397,B,B,1
sciqa_000400,B,B,1
sciqa_000401,A,B,0
sciqa_000403,C,C,1
