id,gold,pred,correct
colorbench_00000,D,B,0
colorbench_00001,D,B,0
colorbench_00002,D,B,0
colorbench_00003,C,B,0
colorbench_00004,D,B,0
colorbench_00005,B,B,1
colorbench_00006,C,B,0
colorbench_00007,D,B,0
colorbench_00008,A,B,0
colorbench_00009,D,B,0
colorbench_00010,A,B,0
colorbench_00011,D,B,0
colorbench_00012,D,B,0
colorbench_00013,D,B,0
colorbench_00014,A,B,0
colorbench_00015,B,B,1
colorbench_00016,C,B,0
colorbench_00017,B,B,1
colorbench_00018,B,B,1
colorbench_00019,B,B,1
colorbench_00020,D,B,0
colorbench_00021,C,B,0
colorbench_00022,D,B,0
colorbench_00023,A,B,0
colorbench_00024,C,B,0
colorbench_00025,D,B,0
colorbench_00026,C,B,0
colorbench_00027,C,B,0
colorbench_00028,B,B,1
colorbench_00029,B,B,1
colorbench_00030,A,B,0
colorbench_00031,C,B,0
colorbench_00032,C,B,0
colorbench_00033,D,B,0
colorbench_00034,D,B,0
colorbench_00035,D,B,0
colorbench_00036,A,B,0
colorbench_00037,B,B,1
colorbench_00038,B,B,1
colorbench_00039,A,B,0
colorbench_00040,C,B,0
colorbench_00041,C,B,0
colorbench_00042,C,B,0
colorbench_00043,C,B,0
colorbench_00044,A,B,0
colorbench_00045,A,B,0
colorbench_00046,B,B,1
colorbench_00047,B,B,1
colorbench_00048,A,B,0
colorbench_00049,B,B,1
colorbench_00050,B,B,1
colorbench_00051,A,B,0
colorbench_00052,B,B,1
colorbench_00053,A,B,0
colorbench_00054,C,B,0
colorbench_00055,A,B,0
colorbench_00056,C,B,0
colorbench_00057,C,B,0
colorbench_00058,A,B,0
colorbench_00059,A,B,0
colorbench_00060,C,B,0
colorbench_00061,A,B,0
colorbench_00062,C,B,0
colorbench_00063,A,B,0
colorbench_00064,D,B,0
colorbench_00065,B,B,1
colorbench_00066,D,B,0
colorbench_00067,A,B,0
colorbench_00068,D,B,0
colorbench_00069,D,B,0
colorbench_00070,D,B,0
colorbench_00071,A,B,0
colorbench_00072,C,B,0
colorbench_00073,D,B,0
colorbench_00074,D,B,0
colorbench_00075,D,B,0
colorbench_00076,A,B,0
colorbench_00077,B,B,1
colorbench_00078,D,B,0
colorbench_00079,D,B,0
colorbench_00080,D,B,0
colorbench_00081,D,B,0
colorbench_00082,D,B,0
colorbench_00083,B,B,1
colorbench_00084,D,B,0
colorbench_00085,D,B,0
colorbench_00086,C,B,0
colorbench_00087,C,B,0
colorbench_00088,D,B,0
colorbench_00089,C,B,0
colorbench_00090,D,B,0
colorbench_00091,D,B,0
colorbench_00092,C,B,0
colorbench_00093,A,B,0
colorbench_00094,A,B,0
colorbench_00095,B,B,1
colorbench_00096,B,B,1
colorbench_00097,C,B,0
colorbench_00098,B,B,1
colorbench_00099,C,B,0
colorbench_00100,C,B,0
colorbench_00101,B,B,1
colorbench_00102,B,B,1
colorbench_00103,A,B,0
colorbench_00104,A,B,0
colorbench_00105,A,B,0
colorbench_00106,A,B,0
colorbench_00107,B,B,1
colorbench_00108,A,B,0
colorbench_00109,A,C,0
colorbench_00110,B,B,1
colorbench_00111,A,B,0
colorbench_00112,C,B,0
