id,gold,pred,correct
mathvista_0001,1.2,2,0
mathvista_0002,1000,100,0
mathvista_0003,C,A,0
mathvista_0004,4,4,1
mathvista_0005,A,A,1
mathvista_0006,A,A,1
mathvista_0007,B,A,0
mathvista_0008,A,A,1
mathvista_0009,D,A,0
mathvista_0010,E,A,0
mathvista_0011,5,4,0
mathvista_0012,A,C,0
mathvista_0013,0,Yes,0
mathvista_0014,A,,0
mathvista_0015,B,A,0
mathvista_0016,2,Yes,0
mathvista_0017,A,A,1
mathvista_0018,B,A,0
mathvista_0019,400,500,0
mathvista_0020,B,,0
mathvista_0021,2,The model is a circle with two blue circles that have four dots in them.,0
mathvista_0022,0,0,1
mathvista_0023,B,D,0
mathvista_0024,B,,0
mathvista_0025,B,,0
mathvista_0026,B,,0
mathvista_0027,11,0,0
mathvista_0028,C,A,0
mathvista_0029,4,0,0
mathvista_0030,B,A,0
mathvista_0031,B,A,0
mathvista_0032,D,A,0
mathvista_0033,C,A,0
mathvista_0034,B,,0
mathvista_0035,B,A,0
mathvista_0036,9,0,0
mathvista_0037,3,The limit of a horizontal line in a graph that represents a horizontal line with a single point on it.,0
mathvista_0038,0,0,1
mathvista_0039,A,C,0
mathvista_0040,7,5,0
mathvista_0041,7,5,0
mathvista_0042,8,0,0
mathvista_0043,C,D,0
mathvista_0044,18,2,0
mathvista_0045,-3,17,0
mathvista_0046,C,E,0
mathvista_0047,6,5,0
mathvista_0048,B,A,0
mathvista_0049,0,10,0
mathvista_0050,D,A,0
mathvista_0051,A,A,1
mathvista_0052,6,4,0
mathvista_0053,1,0,0
mathvista_0054,B,A,0
mathvista_0055,C,A,0
mathvista_0056,6,2,0
mathvista_0057,2,4,0
mathvista_0058,A,,0
mathvista_0059,C,A,0
mathvista_0060,22,0,0
mathvista_0061,B,,0
mathvista_0062,A,A,1
mathvista_0063,7,4,0
mathvista_0064,B,A,0
mathvista_0065,A,C,0
mathvista_0066,A,A,1
mathvista_0067,16,4,0
mathvista_0068,B,A,0
mathvista_0069,7,5,0
mathvista_0070,8,4,0
mathvista_0071,18,6,0
mathvista_0072,1,36,0
mathvista_0073,D,G,0
mathvista_0074,47.6,The difference between the two bars is that the larger bar represents the percentage of people who use the water source for drinking and the smaller bar represents the percentage of people who do not use the water source for drinking.,0
mathvista_0075,B,,0
mathvista_0076,A,A,1
mathvista_0077,2019,7,0
mathvista_0078,8,4,0
mathvista_0079,C,A,0
mathvista_0080,A,A,1
mathvista_0081,-1,2,0
mathvista_0082,C,A,0
mathvista_0083,A,C,0
mathvista_0084,130.9,0.5,0
mathvista_0085,2,0,0
mathvista_0086,G,A,0
mathvista_0087,B,,0
mathvista_0088,30,0,0
mathvista_0089,25,5,0
mathvista_0090,5,4,0
mathvista_0091,B,C,0
mathvista_0092,B,,0
mathvista_0093,197.3,The computing and wireless industry is expected to grow significantly over the next several years.,0
mathvista_0094,C,A,0
mathvista_0095,D,A,0
mathvista_0096,3.9,0,0
mathvista_0097,0,0,1
mathvista_0098,2,7,0
mathvista_0099,D,A,0
mathvista_0100,12,6,0
mathvista_0101,C,A,0
mathvista_0102,6,4,0
mathvista_0103,2,4,0
mathvista_0104,0.8,0.5,0
mathvista_0105,A,,0
mathvista_0106,0,0,1
mathvista_0107,B,A,0
mathvista_0108,51.04,60,0
mathvista_0109,5,5,1
mathvista_0110,B,,0
mathvista_0111,5,5,1
mathvista_0112,B,C,0
mathvista_0113,20,6,0
mathvista_0114,B,A,0
mathvista_0115,3,0,0
mathvista_0116,A,A,1
mathvista_0117,A,A,1
mathvista_0118,1,4,0
mathvista_0119,D,A,0
