id,gold,pred,correct
mme_rw_000000,A,B,0
mme_rw_000001,B,A,0
mme_rw_000002,D,B,0
mme_rw_000003,D,A,0
mme_rw_000004,C,B,0
mme_rw_000005,C,B,0
mme_rw_000006,C,B,0
mme_rw_000007,D,B,0
mme_rw_000008,B,A,0
mme_rw_000009,D,A,0
mme_rw_000010,D,B,0
mme_rw_000011,C,B,0
mme_rw_000012,B,B,1
mme_rw_000013,B,C,0
mme_rw_000014,A,B,0
mme_rw_000015,B,A,0
mme_rw_000016,C,C,1
mme_rw_000017,D,A,0
mme_rw_000018,A,B,0
mme_rw_000019,B,A,0
mme_rw_000020,D,B,0
mme_rw_000021,A,A,1
mme_rw_000022,B,B,1
mme_rw_000023,A,A,1
mme_rw_000024,C,C,1
mme_rw_000025,A,A,1
mme_rw_000026,B,B,1
mme_rw_000027,D,C,0
mme_rw_000028,D,B,0
mme_rw_000029,D,B,0
mme_rw_000030,B,C,0
mme_rw_000031,B,B,1
mme_rw_000032,A,C,0
mme_rw_000033,A,B,0
mme_rw_000034,B,B,1
mme_rw_000035,C,B,0
mme_rw_000036,D,B,0
mme_rw_000037,A,B,0
mme_rw_000038,C,A,0
mme_rw_000039,C,B,0
mme_rw_000040,B,B,1
mme_rw_000041,B,C,0
mme_rw_000042,A,B,0
mme_rw_000043,B,B,1
mme_rw_000044,B,A,0
mme_rw_000045,D,B,0
mme_rw_000046,C,A,0
mme_rw_000047,C,B,0
mme_rw_000048,A,B,0
mme_rw_000049,C,B,0
mme_rw_000050,A,B,0
mme_rw_000051,B,B,1
mme_rw_000052,A,B,0
mme_rw_000053,B,B,1
mme_rw_000054,D,B,0
mme_rw_000055,C,B,0
mme_rw_000056,A,B,0
mme_rw_000057,A,B,0
mme_rw_000058,D,B,0
mme_rw_000059,D,B,0
mme_rw_000060,B,B,1
mme_rw_000061,B,B,1
mme_rw_000062,B,B,1
mme_rw_000063,B,B,1
mme_rw_000064,A,B,0
mme_rw_000065,D,B,0
mme_rw_000066,A,B,0
mme_rw_000067,A,B,0
mme_rw_000068,B,B,1
mme_rw_000069,B,B,1
mme_rw_000070,B,B,1
mme_rw_000071,D,B,0
mme_rw_000072,B,B,1
mme_rw_000073,C,B,0
mme_rw_000074,B,B,1
mme_rw_000075,A,B,0
mme_rw_000076,A,B,0
mme_rw_000077,B,B,1
mme_rw_000078,C,B,0
mme_rw_000079,E,B,0
mme_rw_000080,A,B,0
mme_rw_000081,B,B,1
mme_rw_000082,B,B,1
mme_rw_000083,A,B,0
mme_rw_000084,A,B,0
mme_rw_000085,A,B,0
mme_rw_000086,E,B,0
mme_rw_000087,D,B,0
mme_rw_000088,D,B,0
mme_rw_000089,A,B,0
mme_rw_000090,C,B,0
mme_rw_000091,B,B,1
mme_rw_000092,D,B,0
mme_rw_000093,D,B,0
mme_rw_000094,A,B,0
mme_rw_000095,A,B,0
mme_rw_000096,C,B,0
mme_rw_000097,A,B,0
mme_rw_000098,C,B,0
mme_rw_000099,B,B,1
mme_rw_000100,A,B,0
mme_rw_000101,A,B,0
mme_rw_000102,C,B,0
mme_rw_000103,A,B,0
mme_rw_000104,D,B,0
mme_rw_000105,A,B,0
mme_rw_000106,A,B,0
mme_rw_000107,B,B,1
mme_rw_000108,A,B,0
mme_rw_000109,C,B,0
mme_rw_000110,B,B,1
mme_rw_000111,A,B,0
mme_rw_000112,C,B,0
mme_rw_000113,C,B,0
mme_rw_000114,B,B,1
mme_rw_000115,B,B,1
mme_rw_000116,A,B,0
mme_rw_000117,C,B,0
mme_rw_000118,B,B,1
mme_rw_000119,A,B,0
mme_rw_000120,E,B,0
mme_rw_000121,B,B,1
mme_rw_000122,E,B,0
mme_rw_000123,A,B,0
mme_rw_000124,B,B,1
mme_rw_000125,A,B,0
mme_rw_000126,D,B,0
mme_rw_000127,B,B,1
mme_rw_000128,A,C,0
mme_rw_000129,A,B,0
mme_rw_000130,B,B,1
mme_rw_000131,A,B,0
mme_rw_000132,A,B,0
mme_rw_000133,D,B,0
mme_rw_000134,A,B,0
mme_rw_000135,A,B,0
mme_rw_000136,B,B,1
mme_rw_000137,B,B,1
mme_rw_000138,D,B,0
mme_rw_000139,C,B,0
mme_rw_000140,C,B,0
mme_rw_000141,E,B,0
mme_rw_000142,A,B,0
mme_rw_000143,C,B,0
mme_rw_000144,A,B,0
mme_rw_000145,C,B,0
mme_rw_000146,C,B,0
mme_rw_000147,C,B,0
mme_rw_000148,C,B,0
mme_rw_000149,D,B,0
mme_rw_000150,B,B,1
mme_rw_000151,D,B,0
mme_rw_000152,D,B,0
mme_rw_000153,B,B,1
mme_rw_000154,C,B,0
mme_rw_000155,A,B,0
mme_rw_000156,B,B,1
mme_rw_000157,D,B,0
mme_rw_000158,C,B,0
mme_rw_000159,A,B,0
mme_rw_000160,C,B,0
mme_rw_000161,C,B,0
mme_rw_000162,A,B,0
mme_rw_000163,C,B,0
mme_rw_000164,B,B,1
mme_rw_000165,C,B,0
mme_rw_000166,B,B,1
mme_rw_000167,D,B,0
mme_rw_000168,C,B,0
mme_rw_000169,D,B,0
mme_rw_000170,B,B,1
