id,gold,pred,correct
mme_rw_000000,A,S,0
mme_rw_000001,B,S,0
mme_rw_000002,D,S,0
mme_rw_000003,D,A,0
mme_rw_000004,C,S,0
mme_rw_000005,C,B,0
mme_rw_000006,C,C,1
mme_rw_000007,D,E,0
mme_rw_000008,B,S,0
mme_rw_000009,D,S,0
mme_rw_000010,D,S,0
mme_rw_000011,C,S,0
mme_rw_000012,B,B,1
mme_rw_000013,B,S,0
mme_rw_000014,A,S,0
mme_rw_000015,B,S,0
mme_rw_000016,C,S,0
mme_rw_000017,D,B,0
mme_rw_000018,A,A,1
mme_rw_000019,B,S,0
mme_rw_000020,D,C,0
mme_rw_000021,A,S,0
mme_rw_000022,B,S,0
mme_rw_000023,A,S,0
mme_rw_000024,C,S,0
mme_rw_000025,A,S,0
mme_rw_000026,B,A,0
mme_rw_000027,D,D,1
mme_rw_000028,D,S,0
mme_rw_000029,D,B,0
mme_rw_000030,B,S,0
mme_rw_000031,B,S,0
mme_rw_000032,A,S,0
mme_rw_000033,A,S,0
mme_rw_000034,B,S,0
mme_rw_000035,C,S,0
mme_rw_000036,D,S,0
mme_rw_000037,A,S,0
mme_rw_000038,C,S,0
mme_rw_000039,C,S,0
mme_rw_000040,B,S,0
mme_rw_000041,B,S,0
mme_rw_000042,A,S,0
mme_rw_000043,B,S,0
mme_rw_000044,B,C,0
mme_rw_000045,D,S,0
mme_rw_000046,C,S,0
mme_rw_000047,C,S,0
mme_rw_000048,A,S,0
mme_rw_000049,C,S,0
mme_rw_000050,A,A,1
mme_rw_000051,B,A,0
mme_rw_000052,A,A,1
mme_rw_000053,B,A,0
mme_rw_000054,D,S,0
mme_rw_000055,C,A,0
mme_rw_000056,A,A,1
mme_rw_000057,A,A,1
mme_rw_000058,D,A,0
mme_rw_000059,D,S,0
mme_rw_000060,B,A,0
mme_rw_000061,B,A,0
mme_rw_000062,B,A,0
mme_rw_000063,B,A,0
mme_rw_000064,A,A,1
mme_rw_000065,D,A,0
mme_rw_000066,A,A,1
mme_rw_000067,A,A,1
mme_rw_000068,B,A,0
mme_rw_000069,B,S,0
mme_rw_000070,B,A,0
mme_rw_000071,D,A,0
mme_rw_000072,B,S,0
mme_rw_000073,C,C,1
mme_rw_000074,B,A,0
mme_rw_000075,A,A,1
mme_rw_000076,A,A,1
mme_rw_000077,B,A,0
mme_rw_000078,C,A,0
mme_rw_000079,E,S,0
mme_rw_000080,A,A,1
mme_rw_000081,B,A,0
mme_rw_000082,B,A,0
mme_rw_000083,A,A,1
mme_rw_000084,A,S,0
mme_rw_000085,A,A,1
mme_rw_000086,E,A,0
mme_rw_000087,D,S,0
mme_rw_000088,D,S,0
mme_rw_000089,A,A,1
mme_rw_000090,C,S,0
mme_rw_000091,B,S,0
mme_rw_000092,D,A,0
mme_rw_000093,D,S,0
mme_rw_000094,A,S,0
mme_rw_000095,A,A,1
mme_rw_000096,C,A,0
mme_rw_000097,A,S,0
mme_rw_000098,C,S,0
mme_rw_000099,B,A,0
mme_rw_000100,A,S,0
mme_rw_000101,A,S,0
mme_rw_000102,C,S,0
mme_rw_000103,A,S,0
mme_rw_000104,D,S,0
mme_rw_000105,A,A,1
mme_rw_000106,A,A,1
mme_rw_000107,B,S,0
mme_rw_000108,A,A,1
mme_rw_000109,C,S,0
mme_rw_000110,B,S,0
mme_rw_000111,A,S,0
mme_rw_000112,C,S,0
mme_rw_000113,C,S,0
mme_rw_000114,B,S,0
mme_rw_000115,B,S,0
mme_rw_000116,A,S,0
mme_rw_000117,C,S,0
mme_rw_000118,B,S,0
mme_rw_000119,A,S,0
mme_rw_000120,E,S,0
mme_rw_000121,B,S,0
mme_rw_000122,E,E,1
mme_rw_000123,A,S,0
mme_rw_000124,B,S,0
mme_rw_000125,A,S,0
mme_rw_000126,D,S,0
mme_rw_000127,B,D,0
mme_rw_000128,A,S,0
mme_rw_000129,A,S,0
mme_rw_000130,B,S,0
mme_rw_000131,A,S,0
mme_rw_000132,A,S,0
mme_rw_000133,D,S,0
mme_rw_000134,A,S,0
mme_rw_000135,A,S,0
mme_rw_000136,B,S,0
mme_rw_000137,B,S,0
mme_rw_000138,D,D,1
mme_rw_000139,C,S,0
mme_rw_000140,C,S,0
mme_rw_000141,E,S,0
mme_rw_000142,A,S,0
mme_rw_000143,C,S,0
mme_rw_000144,A,S,0
mme_rw_000145,C,S,0
mme_rw_000146,C,S,0
mme_rw_000147,C,S,0
mme_rw_000148,C,S,0
mme_rw_000149,D,S,0
mme_rw_000150,B,S,0
mme_rw_000151,D,S,0
mme_rw_000152,D,S,0
mme_rw_000153,B,S,0
mme_rw_000154,C,S,0
mme_rw_000155,A,S,0
mme_rw_000156,B,B,1
mme_rw_000157,D,S,0
mme_rw_000158,C,S,0
mme_rw_000159,A,C,0
mme_rw_000160,C,S,0
mme_rw_000161,C,S,0
mme_rw_000162,A,S,0
mme_rw_000163,C,S,0
mme_rw_000164,B,,0
mme_rw_000165,C,S,0
mme_rw_000166,B,S,0
mme_rw_000167,D,S,0
mme_rw_000168,C,S,0
mme_rw_000169,D,S,0
mme_rw_000170,B,D,0
mme_rw_000171,D,S,0
mme_rw_000172,D,S,0
mme_rw_000173,D,D,1
mme_rw_000174,A,S,0
mme_rw_000175,D,S,0
mme_rw_000176,A,S,0
mme_rw_000177,B,C,0
mme_rw_000178,D,S,0
mme_rw_000179,C,S,0
mme_rw_000180,C,S,0
mme_rw_000181,E,E,1
mme_rw_000182,A,,0
mme_rw_000183,E,S,0
mme_rw_000184,D,S,0
mme_rw_000185,B,S,0
mme_rw_000186,C,S,0
mme_rw_000187,A,B,0
mme_rw_000188,A,S,0
mme_rw_000189,C,S,0
mme_rw_000190,D,S,0
mme_rw_000191,C,C,1
mme_rw_000192,B,S,0
mme_rw_000193,B,S,0
