id,gold,pred,correct
mmstar_000782,B,A,0
mmstar_001252,A,A,1
mmstar_000056,A,,0
mmstar_001406,D,,0
mmstar_001073,B,A,0
mmstar_000754,B,A,0
mmstar_000817,B,I,0
mmstar_000857,C,,0
mmstar_000959,A,,0
mmstar_000912,A,,0
mmstar_000800,D,A,0
mmstar_000288,D,A,0
mmstar_001278,A,V,0
mmstar_000225,B,A,0
mmstar_001103,A,,0
mmstar_000942,B,A,0
mmstar_001192,A,A,1
mmstar_000090,D,,0
mmstar_000989,A,A,1
mmstar_001483,D,,0
mmstar_001351,D,,0
mmstar_001068,C,,0
mmstar_000040,A,A,1
mmstar_000811,A,,0
mmstar_000386,B,,0
mmstar_000870,A,A,1
mmstar_001498,C,A,0
mmstar_000114,C,B,0
mmstar_001340,C,A,0
mmstar_000945,A,A,1
mmstar_001311,B,,0
mmstar_001027,D,A,0
mmstar_001204,B,A,0
mmstar_000918,C,A,0
mmstar_000486,B,,0
mmstar_000590,B,,0
mmstar_000824,C,A,0
mmstar_000204,B,,0
mmstar_000729,C,,0
mmstar_001349,D,B,0
mmstar_001423,B,B,1
mmstar_001266,B,A,0
mmstar_000496,A,A,1
mmstar_000909,A,A,1
mmstar_000747,C,,0
mmstar_000526,D,A,0
mmstar_000854,B,A,0
mmstar_000774,B,,0
mmstar_001145,B,A,0
mmstar_000975,A,,0
mmstar_000176,B,A,0
mmstar_001225,C,,0
mmstar_000685,A,,0
mmstar_001205,A,A,1
mmstar_000579,C,,0
mmstar_000085,C,,0
mmstar_001489,A,B,0
mmstar_000916,A,,0
mmstar_001241,B,A,0
mmstar_000159,B,,0
mmstar_001380,A,A,1
mmstar_000929,B,A,0
mmstar_000050,A,A,1
mmstar_001455,B,E,0
mmstar_000373,B,,0
mmstar_000405,D,,0
mmstar_000008,B,,0
mmstar_000702,A,A,1
mmstar_000384,B,,0
mmstar_001428,A,A,1
mmstar_000298,B,,0
mmstar_000877,C,,0
mmstar_000710,C,,0
mmstar_000572,C,A,0
mmstar_001372,C,,0
mmstar_000801,D,A,0
mmstar_000620,A,B,0
mmstar_000901,A,,0
mmstar_001017,C,A,0
mmstar_000228,D,A,0
mmstar_000853,A,A,1
mmstar_001246,A,,0
mmstar_000794,A,,0
mmstar_001493,A,,0
mmstar_000216,A,A,1
mmstar_000791,D,A,0
mmstar_000605,B,,0
mmstar_000924,A,I,0
mmstar_001088,A,A,1
mmstar_000976,C,I,0
mmstar_000532,C,A,0
mmstar_000155,B,A,0
mmstar_001392,B,K,0
mmstar_000990,C,A,0
mmstar_000271,B,,0
mmstar_001329,A,D,0
mmstar_001358,D,D,1
mmstar_001486,D,A,0
mmstar_000018,A,,0
mmstar_000303,A,,0
mmstar_000925,B,,0
mmstar_000183,D,A,0
mmstar_000652,D,,0
mmstar_000464,C,A,0
mmstar_000478,B,,0
mmstar_000424,B,,0
mmstar_000393,D,I,0
mmstar_000714,D,A,0
mmstar_000577,A,,0
mmstar_001269,C,A,0
mmstar_000124,B,A,0
mmstar_000272,C,A,0
mmstar_000059,D,,0
mmstar_000934,B,,0
mmstar_001160,C,A,0
mmstar_001155,A,A,1
mmstar_000992,B,A,0
mmstar_000554,C,B,0
mmstar_000482,D,,0
mmstar_001006,D,A,0
mmstar_000660,B,,0
mmstar_000708,B,,0
mmstar_000209,A,,0
mmstar_000576,C,,0
mmstar_001149,B,A,0
mmstar_000903,D,A,0
mmstar_001168,D,A,0
mmstar_000963,B,A,0
mmstar_000832,B,,0
mmstar_000758,C,,0
mmstar_001191,B,A,0
mmstar_000644,B,,0
mmstar_001082,D,A,0
mmstar_000650,B,A,0
mmstar_001362,A,A,1
mmstar_000046,A,S,0
mmstar_000565,A,A,1
mmstar_001325,B,A,0
mmstar_000943,A,S,0
mmstar_000670,A,,0
mmstar_000399,D,A,0
mmstar_000712,B,A,0
mmstar_001363,A,,0
mmstar_000887,D,A,0
mmstar_001286,C,,0
mmstar_000813,A,A,1
mmstar_000412,B,,0
mmstar_001294,D,A,0
mmstar_000188,A,,0
mmstar_000137,B,A,0
mmstar_000616,C,,0
mmstar_001015,D,A,0
mmstar_001176,B,A,0
mmstar_000226,C,,0
mmstar_001476,D,A,0
mmstar_000265,C,,0
mmstar_000527,D,A,0
mmstar_000351,A,,0
mmstar_001336,B,A,0
mmstar_000952,B,A,0
mmstar_001134,C,A,0
mmstar_000570,B,,0
mmstar_000624,B,,0
mmstar_000211,A,,0
mmstar_001384,A,,0
mmstar_000003,C,,0
mmstar_001242,D,A,0
mmstar_001259,D,B,0
mmstar_000931,A,,0
mmstar_001141,C,A,0
mmstar_000739,A,,0
mmstar_000825,A,A,1
mmstar_000345,C,,0
mmstar_000645,A,A,1
mmstar_000787,A,,0
mmstar_000145,C,S,0
mmstar_001020,D,A,0
mmstar_001085,B,,0
mmstar_001226,D,A,0
mmstar_000488,B,,0
mmstar_000562,A,A,1
mmstar_001131,B,A,0
mmstar_000584,D,,0
mmstar_000108,B,,0
mmstar_000404,C,,0
mmstar_001310,A,B,0
mmstar_000984,C,A,0
mmstar_000966,B,B,1
mmstar_001101,A,S,0
mmstar_000690,D,,0
mmstar_001360,D,O,0
mmstar_001283,C,,0
mmstar_001364,D,,0
mmstar_001397,D,,0
mmstar_000545,B,,0
mmstar_001443,C,A,0
mmstar_000160,B,A,0
mmstar_000611,A,A,1
mmstar_001239,C,A,0
mmstar_001395,A,A,1
mmstar_000807,D,A,0
mmstar_000058,B,A,0
mmstar_000462,B,,0
mmstar_000922,A,,0
mmstar_000261,B,,0
mmstar_000398,C,A,0
mmstar_001308,B,A,0
mmstar_000190,C,,0
mmstar_000764,A,A,1
mmstar_000561,B,A,0
mmstar_000575,B,,0
mmstar_000459,D,,0
mmstar_001019,C,A,0
mmstar_000162,A,,0
mmstar_001410,B,,0
mmstar_000637,A,,0
mmstar_001150,C,A,0
mmstar_000503,C,A,0
mmstar_001023,D,A,0
mmstar_000280,D,A,0
mmstar_001332,A,A,1
mmstar_001066,A,,0
mmstar_000099,D,,0
mmstar_001481,B,A,0
mmstar_001258,B,A,0
mmstar_000869,B,A,0
mmstar_000855,C,A,0
mmstar_000178,A,A,1
mmstar_001491,C,B,0
mmstar_000366,A,A,1
mmstar_000707,D,A,0
mmstar_000084,D,,0
mmstar_001339,B,,0
mmstar_001473,A,A,1
mmstar_000559,B,,0
mmstar_001490,A,,0
mmstar_000889,B,A,0
mmstar_000359,B,A,0
mmstar_001113,C,,0
mmstar_000522,B,A,0
mmstar_000770,C,,0
mmstar_000438,B,A,0
mmstar_001098,C,A,0
mmstar_001180,A,A,1
mmstar_000200,A,B,0
mmstar_000257,A,,0
mmstar_001065,A,,0
mmstar_000805,C,A,0
mmstar_000295,C,A,0
mmstar_000746,B,,0
mmstar_000423,A,,0
mmstar_000118,B,A,0
mmstar_001462,D,B,0
mmstar_000215,D,,0
mmstar_001335,A,D,0
mmstar_000054,A,A,1
mmstar_001292,A,,0
mmstar_000446,D,,0
mmstar_000781,A,A,1
mmstar_001213,C,E,0
mmstar_000375,B,,0
mmstar_001123,C,A,0
mmstar_000139,B,,0
mmstar_000638,C,A,0
mmstar_000397,D,,0
mmstar_000962,A,A,1
mmstar_000320,B,,0
mmstar_000246,D,,0
mmstar_001047,C,A,0
mmstar_000191,B,,0
mmstar_000264,A,,0
mmstar_001367,B,A,0
mmstar_000465,D,,0
mmstar_001420,B,,0
mmstar_000695,D,,0
mmstar_000325,A,A,1
mmstar_000481,B,,0
