id,gold,pred,correct
colorbench_00000,D,A,0
colorbench_00001,D,C,0
colorbench_00002,D,C,0
colorbench_00003,C,S,0
colorbench_00004,D,S,0
colorbench_00005,B,B,1
colorbench_00006,C,,0
colorbench_00007,D,S,0
colorbench_00008,A,B,0
colorbench_00009,D,C,0
colorbench_00010,A,S,0
colorbench_00011,D,B,0
colorbench_00012,D,S,0
colorbench_00013,D,B,0
colorbench_00014,A,C,0
colorbench_00015,B,S,0
colorbench_00016,C,S,0
colorbench_00017,B,S,0
colorbench_00018,B,S,0
colorbench_00019,B,C,0
colorbench_00020,D,D,1
colorbench_00021,C,C,1
colorbench_00022,D,C,0
colorbench_00023,A,D,0
colorbench_00024,C,D,0
colorbench_00025,D,S,0
colorbench_00026,C,S,0
colorbench_00027,C,S,0
colorbench_00028,B,B,1
colorbench_00029,B,S,0
colorbench_00030,A,C,0
colorbench_00031,C,S,0
colorbench_00032,C,A,0
colorbench_00033,D,C,0
colorbench_00034,D,S,0
colorbench_00035,D,B,0
colorbench_00036,A,B,0
colorbench_00037,B,B,1
colorbench_00038,B,S,0
colorbench_00039,A,S,0
colorbench_00040,C,A,0
colorbench_00041,C,B,0
colorbench_00042,C,S,0
colorbench_00043,C,S,0
colorbench_00044,A,D,0
colorbench_00045,A,S,0
colorbench_00046,B,D,0
colorbench_00047,B,S,0
colorbench_00048,A,S,0
colorbench_00049,B,S,0
colorbench_00050,B,,0
colorbench_00051,A,S,0
colorbench_00052,B,S,0
colorbench_00053,A,C,0
colorbench_00054,C,S,0
colorbench_00055,A,S,0
colorbench_00056,C,S,0
colorbench_00057,C,A,0
colorbench_00058,A,,0
colorbench_00059,A,S,0
colorbench_00060,C,,0
colorbench_00061,A,S,0
colorbench_00062,C,S,0
colorbench_00063,A,,0
colorbench_00064,D,S,0
colorbench_00065,B,C,0
colorbench_00066,D,S,0
colorbench_00067,A,,0
colorbench_00068,D,S,0
colorbench_00069,D,D,1
colorbench_00070,D,S,0
colorbench_00071,A,S,0
colorbench_00072,C,,0
colorbench_00073,D,,0
colorbench_00074,D,C,0
colorbench_00075,D,C,0
colorbench_00076,A,S,0
colorbench_00077,B,S,0
colorbench_00078,D,B,0
colorbench_00079,D,S,0
colorbench_00080,D,S,0
colorbench_00081,D,S,0
colorbench_00082,D,S,0
colorbench_00083,B,S,0
colorbench_00084,D,D,1
colorbench_00085,D,S,0
colorbench_00086,C,B,0
colorbench_00087,C,S,0
colorbench_00088,D,C,0
colorbench_00089,C,S,0
colorbench_00090,D,S,0
colorbench_00091,D,S,0
colorbench_00092,C,S,0
colorbench_00093,A,S,0
colorbench_00094,A,S,0
colorbench_00095,B,S,0
colorbench_00096,B,S,0
colorbench_00097,C,C,1
colorbench_00098,B,S,0
colorbench_00099,C,B,0
colorbench_00100,C,B,0
colorbench_00101,B,S,0
colorbench_00102,B,S,0
colorbench_00103,A,S,0
colorbench_00104,A,C,0
colorbench_00105,A,B,0
colorbench_00106,A,C,0
colorbench_00107,B,B,1
colorbench_00108,A,C,0
colorbench_00109,A,B,0
colorbench_00110,B,C,0
colorbench_00111,A,B,0
colorbench_00112,C,S,0
colorbench_00113,C,S,0
colorbench_00114,B,S,0
colorbench_00115,B,,0
