id,gold,pred,correct
mme_rw_000000,A,A,1
mme_rw_000001,B,B,1
mme_rw_000002,D,A,0
mme_rw_000003,D,D,1
mme_rw_000004,C,B,0
mme_rw_000005,C,E,0
mme_rw_000006,C,C,1
mme_rw_000007,D,D,1
mme_rw_000008,B,E,0
mme_rw_000009,D,D,1
mme_rw_000010,D,D,1
mme_rw_000011,C,C,1
mme_rw_000012,B,C,0
mme_rw_000013,B,A,0
mme_rw_000014,A,A,1
mme_rw_000015,B,B,1
mme_rw_000016,C,C,1
mme_rw_000017,D,D,1
mme_rw_000018,A,A,1
mme_rw_000019,B,B,1
mme_rw_000020,D,D,1
mme_rw_000021,A,B,0
mme_rw_000022,B,B,1
mme_rw_000023,A,A,1
mme_rw_000024,C,C,1
mme_rw_000025,A,C,0
mme_rw_000026,B,B,1
mme_rw_000027,D,D,1
mme_rw_000028,D,D,1
mme_rw_000029,D,D,1
mme_rw_000030,B,B,1
mme_rw_000031,B,B,1
mme_rw_000032,A,C,0
mme_rw_000033,A,E,0
mme_rw_000034,B,B,1
mme_rw_000035,C,D,0
mme_rw_000036,D,D,1
mme_rw_000037,A,C,0
mme_rw_000038,C,C,1
mme_rw_000039,C,C,1
mme_rw_000040,B,B,1
mme_rw_000041,B,B,1
mme_rw_000042,A,B,0
mme_rw_000043,B,B,1
mme_rw_000044,B,A,0
mme_rw_000045,D,C,0
mme_rw_000046,C,C,1
mme_rw_000047,C,C,1
mme_rw_000048,A,A,1
mme_rw_000049,C,C,1
mme_rw_000050,A,C,0
mme_rw_000051,B,E,0
mme_rw_000052,A,D,0
mme_rw_000053,B,E,0
mme_rw_000054,D,D,1
mme_rw_000055,C,E,0
mme_rw_000056,A,E,0
mme_rw_000057,A,E,0
mme_rw_000058,D,E,0
mme_rw_000059,D,E,0
mme_rw_000060,B,E,0
mme_rw_000061,B,C,0
mme_rw_000062,B,B,1
mme_rw_000063,B,E,0
mme_rw_000064,A,E,0
mme_rw_000065,D,E,0
mme_rw_000066,A,E,0
mme_rw_000067,A,E,0
mme_rw_000068,B,B,1
mme_rw_000069,B,E,0
mme_rw_000070,B,E,0
mme_rw_000071,D,E,0
mme_rw_000072,B,E,0
mme_rw_000073,C,C,1
mme_rw_000074,B,E,0
mme_rw_000075,A,A,1
mme_rw_000076,A,E,0
mme_rw_000077,B,E,0
mme_rw_000078,C,E,0
mme_rw_000079,E,E,1
mme_rw_000080,A,E,0
mme_rw_000081,B,E,0
mme_rw_000082,B,E,0
mme_rw_000083,A,E,0
mme_rw_000084,A,E,0
mme_rw_000085,A,E,0
mme_rw_000086,E,E,1
mme_rw_000087,D,E,0
mme_rw_000088,D,D,1
mme_rw_000089,A,C,0
mme_rw_000090,C,E,0
mme_rw_000091,B,D,0
mme_rw_000092,D,E,0
mme_rw_000093,D,E,0
mme_rw_000094,A,E,0
mme_rw_000095,A,E,0
mme_rw_000096,C,C,1
mme_rw_000097,A,B,0
mme_rw_000098,C,C,1
mme_rw_000099,B,B,1
mme_rw_000100,A,B,0
mme_rw_000101,A,A,1
mme_rw_000102,C,D,0
mme_rw_000103,A,B,0
mme_rw_000104,D,D,1
mme_rw_000105,A,B,0
mme_rw_000106,A,B,0
mme_rw_000107,B,B,1
mme_rw_000108,A,C,0
mme_rw_000109,C,C,1
mme_rw_000110,B,B,1
mme_rw_000111,A,E,0
mme_rw_000112,C,D,0
mme_rw_000113,C,A,0
mme_rw_000114,B,A,0
mme_rw_000115,B,B,1
mme_rw_000116,A,B,0
mme_rw_000117,C,C,1
mme_rw_000118,B,B,1
mme_rw_000119,A,B,0
mme_rw_000120,E,B,0
mme_rw_000121,B,B,1
mme_rw_000122,E,C,0
mme_rw_000123,A,C,0
mme_rw_000124,B,B,1
mme_rw_000125,A,B,0
mme_rw_000126,D,A,0
mme_rw_000127,B,D,0
mme_rw_000128,A,A,1
mme_rw_000129,A,C,0
mme_rw_000130,B,B,1
mme_rw_000131,A,A,1
mme_rw_000132,A,B,0
mme_rw_000133,D,D,1
mme_rw_000134,A,A,1
mme_rw_000135,A,D,0
mme_rw_000136,B,C,0
mme_rw_000137,B,B,1
mme_rw_000138,D,D,1
mme_rw_000139,C,B,0
mme_rw_000140,C,C,1
mme_rw_000141,E,C,0
mme_rw_000142,A,C,0
mme_rw_000143,C,B,0
mme_rw_000144,A,C,0
mme_rw_000145,C,C,1
mme_rw_000146,C,D,0
mme_rw_000147,C,C,1
mme_rw_000148,C,D,0
mme_rw_000149,D,A,0
mme_rw_000150,B,B,1
mme_rw_000151,D,D,1
mme_rw_000152,D,E,0
mme_rw_000153,B,D,0
mme_rw_000154,C,E,0
mme_rw_000155,A,E,0
mme_rw_000156,B,B,1
mme_rw_000157,D,D,1
mme_rw_000158,C,D,0
mme_rw_000159,A,D,0
mme_rw_000160,C,B,0
mme_rw_000161,C,B,0
mme_rw_000162,A,E,0
mme_rw_000163,C,D,0
mme_rw_000164,B,B,1
mme_rw_000165,C,B,0
mme_rw_000166,B,B,1
mme_rw_000167,D,D,1
mme_rw_000168,C,C,1
mme_rw_000169,D,B,0
mme_rw_000170,B,D,0
mme_rw_000171,D,C,0
mme_rw_000172,D,D,1
mme_rw_000173,D,C,0
mme_rw_000174,A,D,0
mme_rw_000175,D,E,0
mme_rw_000176,A,A,1
mme_rw_000177,B,A,0
mme_rw_000178,D,B,0
mme_rw_000179,C,D,0
mme_rw_000180,C,B,0
mme_rw_000181,E,E,1
mme_rw_000182,A,D,0
mme_rw_000183,E,D,0
mme_rw_000184,D,D,1
mme_rw_000185,B,D,0
mme_rw_000186,C,D,0
mme_rw_000187,A,E,0
mme_rw_000188,A,E,0
mme_rw_000189,C,E,0
