id,gold,pred,correct
sciqa_000001,B,B,1
sciqa_000003,C,C,1
sciqa_000005,B,B,1
sciqa_000007,B,B,1
sciqa_000008,B,B,1
sciqa_000009,D,D,1
sciqa_000012,A,A,1
sciqa_000013,B,B,1
sciqa_000017,B,B,1
sciqa_000019,C,C,1
sciqa_000021,B,B,1
sciqa_000022,B,B,1
sciqa_000024,B,B,1
sciqa_000025,A,A,1
sciqa_000029,C,E,0
sciqa_000032,A,A,1
sciqa_000033,B,B,1
sciqa_000035,B,B,1
sciqa_000037,B,B,1
sciqa_000041,A,A,1
sciqa_000049,B,B,1
sciqa_000052,B,B,1
sciqa_000053,B,B,1
sciqa_000054,A,A,1
sciqa_000055,B,B,1
sciqa_000056,B,B,1
sciqa_000057,C,C,1
sciqa_000059,A,A,1
sciqa_000065,A,A,1
sciqa_000066,B,B,1
sciqa_000067,B,B,1
sciqa_000068,B,B,1
sciqa_000069,B,B,1
sciqa_000073,B,B,1
sciqa_000075,A,A,1
sciqa_000078,A,A,1
sciqa_000079,D,D,1
sciqa_000081,B,B,1
sciqa_000082,B,B,1
sciqa_000083,D,D,1
sciqa_000084,A,A,1
sciqa_000085,E,C,0
sciqa_000086,C,C,1
sciqa_000087,B,B,1
sciqa_000088,A,A,1
sciqa_000090,A,A,1
sciqa_000092,C,C,1
sciqa_000094,B,B,1
sciqa_000098,A,A,1
sciqa_000100,A,A,1
sciqa_000105,D,D,1
sciqa_000106,B,B,1
sciqa_000107,B,B,1
sciqa_000108,B,B,1
sciqa_000109,A,A,1
sciqa_000111,A,A,1
sciqa_000112,B,B,1
sciqa_000113,D,D,1
sciqa_000116,C,C,1
sciqa_000117,B,B,1
sciqa_000119,B,A,0
sciqa_000123,A,A,1
sciqa_000125,A,A,1
sciqa_000127,C,C,1
sciqa_000128,A,A,1
sciqa_000131,D,D,1
sciqa_000132,B,B,1
sciqa_000133,B,B,1
sciqa_000135,C,C,1
sciqa_000136,A,A,1
sciqa_000137,A,B,0
sciqa_000141,A,A,1
sciqa_000143,A,A,1
sciqa_000146,B,B,1
sciqa_000147,B,B,1
sciqa_000151,C,C,1
sciqa_000153,C,C,1
sciqa_000158,C,C,1
sciqa_000159,A,D,0
sciqa_000162,A,A,1
sciqa_000164,B,A,0
sciqa_000170,A,A,1
sciqa_000173,B,B,1
sciqa_000178,A,A,1
sciqa_000183,B,B,1
sciqa_000184,C,C,1
sciqa_000185,B,B,1
sciqa_000190,C,C,1
sciqa_000191,A,A,1
sciqa_000192,B,B,1
sciqa_000193,B,B,1
sciqa_000194,A,A,1
sciqa_000195,A,A,1
sciqa_000197,A,A,1
sciqa_000198,B,B,1
sciqa_000201,C,C,1
sciqa_000205,B,B,1
sciqa_000206,A,A,1
sciqa_000207,A,C,0
sciqa_000208,B,B,1
sciqa_000209,B,B,1
sciqa_000211,A,A,1
sciqa_000212,A,A,1
sciqa_000213,B,B,1
sciqa_000214,A,B,0
sciqa_000216,B,B,1
sciqa_000219,B,B,1
sciqa_000222,A,A,1
sciqa_000224,A,A,1
sciqa_000226,C,C,1
sciqa_000227,B,B,1
sciqa_000230,B,A,0
sciqa_000231,B,B,1
sciqa_000233,B,B,1
sciqa_000234,A,A,1
sciqa_000235,C,C,1
sciqa_000236,B,B,1
sciqa_000238,A,A,1
sciqa_000240,A,A,1
sciqa_000242,A,A,1
sciqa_000244,C,C,1
sciqa_000247,B,B,1
sciqa_000248,A,A,1
sciqa_000249,A,A,1
sciqa_000250,D,D,1
sciqa_000251,B,B,1
sciqa_000254,D,D,1
sciqa_000260,C,C,1
sciqa_000262,B,B,1
sciqa_000264,B,B,1
sciqa_000266,D,D,1
sciqa_000267,A,A,1
sciqa_000268,B,B,1
sciqa_000269,A,A,1
sciqa_000270,A,A,1
sciqa_000273,B,B,1
sciqa_000275,B,B,1
sciqa_000276,B,B,1
sciqa_000277,B,B,1
sciqa_000279,B,B,1
sciqa_000281,C,C,1
sciqa_000282,A,A,1
sciqa_000283,A,A,1
sciqa_000284,A,A,1
sciqa_000285,C,C,1
sciqa_000286,B,B,1
sciqa_000287,B,B,1
sciqa_000289,C,B,0
sciqa_000292,C,C,1
sciqa_000294,C,C,1
sciqa_000295,A,A,1
sciqa_000296,D,D,1
sciqa_000297,C,C,1
sciqa_000298,D,D,1
sciqa_000300,A,A,1
sciqa_000301,B,B,1
sciqa_000302,C,C,1
sciqa_000306,B,B,1
sciqa_000308,C,C,1
sciqa_000309,B,B,1
sciqa_000310,C,C,1
sciqa_000311,B,B,1
sciqa_000314,B,B,1
sciqa_000316,B,B,1
sciqa_000319,C,C,1
sciqa_000320,C,C,1
sciqa_000321,C,C,1
sciqa_000322,A,A,1
sciqa_000323,B,B,1
sciqa_000325,A,A,1
sciqa_000326,A,A,1
sciqa_000328,B,B,1
sciqa_000331,A,A,1
sciqa_000332,B,B,1
