id,gold,pred,correct
sciqa_000001,B,S,0
sciqa_000003,C,A,0
sciqa_000005,B,,0
sciqa_000007,B,S,0
sciqa_000008,B,,0
sciqa_000009,D,S,0
sciqa_000012,A,S,0
sciqa_000013,B,S,0
sciqa_000017,B,S,0
sciqa_000019,C,S,0
sciqa_000021,B,S,0
sciqa_000022,B,S,0
sciqa_000024,B,S,0
sciqa_000025,A,A,1
sciqa_000029,C,E,0
sciqa_000032,A,S,0
sciqa_000033,B,B,1
sciqa_000035,B,B,1
sciqa_000037,B,B,1
sciqa_000041,A,A,1
sciqa_000049,B,S,0
sciqa_000052,B,S,0
sciqa_000053,B,B,1
sciqa_000054,A,S,0
sciqa_000055,B,S,0
sciqa_000056,B,B,1
sciqa_000057,C,C,1
sciqa_000059,A,S,0
sciqa_000065,A,M,0
sciqa_000066,B,,0
sciqa_000067,B,S,0
sciqa_000068,B,S,0
sciqa_000069,B,S,0
sciqa_000073,B,A,0
sciqa_000075,A,S,0
sciqa_000078,A,S,0
sciqa_000079,D,S,0
sciqa_000081,B,S,0
sciqa_000082,B,S,0
sciqa_000083,D,S,0
sciqa_000084,A,A,1
sciqa_000085,E,L,0
sciqa_000086,C,A,0
sciqa_000087,B,S,0
sciqa_000088,A,A,1
sciqa_000090,A,S,0
sciqa_000092,C,S,0
sciqa_000094,B,A,0
sciqa_000098,A,A,1
sciqa_000100,A,F,0
sciqa_000105,D,S,0
sciqa_000106,B,S,0
sciqa_000107,B,S,0
sciqa_000108,B,S,0
sciqa_000109,A,A,1
sciqa_000111,A,S,0
sciqa_000112,B,S,0
sciqa_000113,D,S,0
sciqa_000116,C,S,0
sciqa_000117,B,,0
sciqa_000119,B,,0
sciqa_000123,A,S,0
sciqa_000125,A,S,0
sciqa_000127,C,S,0
sciqa_000128,A,N,0
sciqa_000131,D,S,0
sciqa_000132,B,S,0
sciqa_000133,B,S,0
sciqa_000135,C,S,0
sciqa_000136,A,A,1
sciqa_000137,A,,0
sciqa_000141,A,T,0
sciqa_000143,A,I,0
sciqa_000146,B,A,0
sciqa_000147,B,B,1
sciqa_000151,C,A,0
sciqa_000153,C,S,0
sciqa_000158,C,S,0
sciqa_000159,A,N,0
sciqa_000162,A,S,0
sciqa_000164,B,S,0
sciqa_000170,A,S,0
sciqa_000173,B,B,1
sciqa_000178,A,A,1
sciqa_000183,B,S,0
sciqa_000184,C,S,0
sciqa_000185,B,,0
sciqa_000190,C,A,0
sciqa_000191,A,S,0
sciqa_000192,B,S,0
sciqa_000193,B,B,1
sciqa_000194,A,S,0
sciqa_000195,A,S,0
sciqa_000197,A,S,0
sciqa_000198,B,S,0
sciqa_000201,C,S,0
sciqa_000205,B,B,1
sciqa_000206,A,,0
sciqa_000207,A,A,1
sciqa_000208,B,S,0
sciqa_000209,B,S,0
sciqa_000211,A,A,1
sciqa_000212,A,S,0
sciqa_000213,B,S,0
sciqa_000214,A,S,0
sciqa_000216,B,S,0
sciqa_000219,B,B,1
sciqa_000222,A,N,0
sciqa_000224,A,S,0
sciqa_000226,C,S,0
sciqa_000227,B,S,0
