id,gold,pred,correct
mmstar_000782,B,,0
mmstar_001252,A,,0
mmstar_000056,A,S,0
mmstar_001406,D,A,0
mmstar_001073,B,B,1
mmstar_000754,B,S,0
mmstar_000817,B,A,0
mmstar_000857,C,S,0
mmstar_000959,A,A,1
mmstar_000912,A,A,1
mmstar_000800,D,,0
mmstar_000288,D,S,0
mmstar_001278,A,V,0
mmstar_000225,B,S,0
mmstar_001103,A,S,0
mmstar_000942,B,X,0
mmstar_001192,A,A,1
mmstar_000090,D,C,0
mmstar_000989,A,S,0
mmstar_001483,D,A,0
mmstar_001351,D,A,0
mmstar_001068,C,P,0
mmstar_000040,A,A,1
mmstar_000811,A,A,1
mmstar_000386,B,B,1
mmstar_000870,A,A,1
mmstar_001498,C,F,0
mmstar_000114,C,S,0
mmstar_001340,C,,0
mmstar_000945,A,,0
mmstar_001311,B,A,0
mmstar_001027,D,,0
mmstar_001204,B,A,0
mmstar_000918,C,,0
mmstar_000486,B,S,0
mmstar_000590,B,A,0
mmstar_000824,C,,0
mmstar_000204,B,S,0
mmstar_000729,C,C,1
mmstar_001349,D,S,0
mmstar_001423,B,B,1
mmstar_001266,B,A,0
mmstar_000496,A,S,0
mmstar_000909,A,A,1
mmstar_000747,C,S,0
mmstar_000526,D,D,1
mmstar_000854,B,A,0
mmstar_000774,B,S,0
mmstar_001145,B,P,0
mmstar_000975,A,S,0
mmstar_000176,B,B,1
mmstar_001225,C,P,0
mmstar_000685,A,S,0
mmstar_001205,A,B,0
mmstar_000579,C,D,0
mmstar_000085,C,C,1
mmstar_001489,A,A,1
mmstar_000916,A,D,0
mmstar_001241,B,,0
mmstar_000159,B,B,1
mmstar_001380,A,S,0
mmstar_000929,B,,0
mmstar_000050,A,A,1
mmstar_001455,B,M,0
mmstar_000373,B,S,0
mmstar_000405,D,D,1
mmstar_000008,B,S,0
mmstar_000702,A,S,0
mmstar_000384,B,B,1
mmstar_001428,A,N,0
mmstar_000298,B,C,0
mmstar_000877,C,S,0
mmstar_000710,C,C,1
mmstar_000572,C,D,0
mmstar_001372,C,A,0
mmstar_000801,D,,0
mmstar_000620,A,S,0
mmstar_000901,A,X,0
mmstar_001017,C,,0
mmstar_000228,D,A,0
mmstar_000853,A,S,0
mmstar_001246,A,B,0
mmstar_000794,A,S,0
mmstar_001493,A,S,0
mmstar_000216,A,A,1
mmstar_000791,D,D,1
mmstar_000605,B,A,0
mmstar_000924,A,S,0
mmstar_001088,A,A,1
mmstar_000976,C,C,1
mmstar_000532,C,D,0
mmstar_000155,B,B,1
mmstar_001392,B,A,0
mmstar_000990,C,C,1
mmstar_000271,B,D,0
mmstar_001329,A,,0
mmstar_001358,D,K,0
mmstar_001486,D,A,0
mmstar_000018,A,C,0
mmstar_000303,A,D,0
mmstar_000925,B,S,0
mmstar_000183,D,D,1
mmstar_000652,D,D,1
mmstar_000464,C,C,1
mmstar_000478,B,A,0
mmstar_000424,B,S,0
mmstar_000393,D,D,1
mmstar_000714,D,S,0
mmstar_000577,A,A,1
mmstar_001269,C,F,0
mmstar_000124,B,C,0
mmstar_000272,C,D,0
mmstar_000059,D,D,1
mmstar_000934,B,S,0
mmstar_001160,C,C,1
mmstar_001155,A,X,0
mmstar_000992,B,B,1
mmstar_000554,C,S,0
mmstar_000482,D,B,0
mmstar_001006,D,S,0
mmstar_000660,B,A,0
mmstar_000708,B,B,1
mmstar_000209,A,A,1
mmstar_000576,C,C,1
mmstar_001149,B,S,0
mmstar_000903,D,D,1
mmstar_001168,D,O,0
mmstar_000963,B,,0
mmstar_000832,B,B,1
mmstar_000758,C,S,0
mmstar_001191,B,B,1
mmstar_000644,B,B,1
mmstar_001082,D,D,1
mmstar_000650,B,D,0
mmstar_001362,A,A,1
mmstar_000046,A,A,1
